en,ar,section
"Sodium Starch Glycolate, Silica Aerogel, Hydrogenated Castor Oil,",جل,dosage_form
Pharmacokinetic properties,الخصائص الحركية الدوائية,header
Undesirable Effects,الآثار غير المرغوبة,header
Children (aged >12 years) and adults: 2 tablets thrice daily.,أقراص,dosage_form
Overdose,فرط الجرعة,header
Packaging,التغليف,header
"2 blisters, each contains 10 dispersible tablets/carton box.",أقراص,dosage_form
MULER   (Dispersible Tablets ),أقراص,dosage_form
– HAMAPHARMA/LEAF/MULER (Tablets)          size (210x160mm),أقراص,dosage_form
– HAMAPHARMA/LEAF/MULER (Tablets)          size (210x160mm),أقراص,dosage_form
